Spell Name,Spell Level,Range,Duration,Description
Anti-Plant Ward,"Druid, 5th Level",Caster,2 hours,"The caster is surrounded by a magical barrier which prevents any sort of plant, magical or not, from reaching through or attacking. The shell has a radius of ten feet. If anyone within the magical warding casts an attack spell or makes a physical attack, the barrier will instantly evaporate."
Astral Spell,"Magic-User, 9th Level","100 miles (above ground), 100 yards (below ground)",2 hours,"The caster projects his or her astral form into other places; the astral form is invisible to all creatures but those also traveling the astral plane of existence. The spell has a duration of two hours. If the caster’s physical body is moved more than 100 miles from its original location while the astral form is away, the link is sundered and the caster’s soul becomes lost in the beyond. (If the caster’s body is underground, it need only be moved 100 yards before the connection is broken.) The astral form is capable of casting spells, but there is a 5% chance per spell level that the spell will fail. Additionally, there is a 2% chance per spell level of the attempted spell that the astral spell itself will falter as a result of the spell casting, and the astral form will return to the physical body. When traveling in astral form upon the earth, the astral form may travel as fast as 100 miles per hour per level above 18th. If the form is traveling underground, its top speed is much slower: 120 feet per 10-minute turn. When traveling into the deeper regions beyond the earth, speed and distance are obviously not measured in miles."
Blade Barrier,"Cleric, 6th Level",60 feet,12 turns,"Mystical blades, whirling and thrusting, form a lethal circle around the spell’s recipient, at a radius of 15 feet. The barrier inflicts 7d10 points of damage to anyone trying to pass through."
Bless,"Cleric, 2nd Level",Only upon a character not in combat.,1 hour (6 turns),"This spell grants its recipient a +1 to attack rolls (and improves morale, if the recipient is not a player character). The recipient cannot already be in combat when the spell is cast. Cacodemon or Cacodaemon See Conjuration of Demons"
Call Lightning,"Druid, 3rd level",1000 feet,One hour,"This spell of colossal power may only be used outdoors, and even then only when a storm is present or immediately imminent. Under such conditions, the caster may tap into and unleash the power of the storm itself, calling forth bolts of lightning from the sky at intervals of no less than ten minutes in between. The lightning blasts straight downward from the heavens, inflicting damage of 8d6 hp + 1 hp/level."
Charm Monster,"Magic-User, 4th Level",60 feet,See below,"This spell operates in the same manner as Charm Person, but can affect any one living creature, including powerful monsters. For monsters of fewer than 3 hit dice, up to 3d6 can be affected. Monsters have one chance per week to break free of the charm, with the probability based on their hit dice (as shown on the following table). Table 35: Charm Monster Hit Dice Chance to Break Charm1 Fewer than 2 5% 2–4 10% 5–7 20% 8–10 40% 11+ 80% 1 Per week"
Charm Person,"Magic-User, 1st Level",120 feet,Until dispelled,"This spell affects living bipeds of human size or smaller, such as goblins or dryads. If the spell succeeds (saving throw allowed), the unfortunate creature falls under the caster’s influence."
Charm Plants,"Magic-User, 7th Level",120 feet,Until dispelled,"If the plant fails a saving throw (and it need not be intelligent), it will obey the caster to the extent of its ability. The spell affects one large tree, six man-sized plants, twelve plants three feet tall, or twenty-four flower-sized plants."
Clairaudience,"Magic-User, 3rd Level",60 feet,2 hours,"Clairaudience allows the caster to hear through solid stone (limiting range to 2 feet or so) and other obstacles, any sounds within a range of 60 feet. The spell’s effect cannot pass through even a thin sheeting of lead, however, for this metal blocks it utterly. The spell can be cast through a crystal ball."
Clairvoyance,"Magic-User, 3rd Level",60 feet,2 hours,"Clairvoyance allows the caster to see through solid stone (limiting range to 2 feet or so) and other obstacles, anything within a range of 60 feet. The spell’s effect cannot pass through even a thin sheeting of lead, however, for this metal blocks it completely."
Clone,"Magic-User, 8th Level",Close,Permanent,"By this eerie and disturbing spell, a piece of flesh, taken from a living person, is grown into an exact duplicate of the person at the time the flesh was removed. (Whether this requires a laboratory and how much time is needed to regrow the clone depend upon the spell formula and the Referee’s discretion.) If a clone is created while its parent-creature still lives, the clone will seek to kill its original. If it fails to achieve this goal, both the clone and the original will become insane."
Cloudkill,"Magic-User, 5th Level",Moves 6 feet per minute,1 hour,"Foul and poisonous vapors boil from the thin air, forming a cloud 15 feet in radius. The cloud moves directly forward at a rate of 6 feet per minute unless its direction or speed is affected by winds. Unusually strong gusts can dissipate and destroy the cloud. Poison-laden, the horrid mist is heavier than air, and thus sinks down any pits or stairs in its path. For any creature with fewer than 5HD, touching the cloud (much less breathing it) requires a saving throw to avoid immediate death."
Commune,"Cleric, 5th Level",Caster,3 questions,"Higher powers grant an answer to three questions the caster poses to them. Higher powers do not like being constantly interrogated by mere mortals, so use of the spell should be limited to once per week or so by the Referee."
Commune with Nature,"Druid, 5th Level",Caster,3 questions,"The powers of land, sky, and nature grant an answer to three questions the caster poses to them. The spell cannot be used while underground or within a building; a fourth question may be asked if the caster is in a druidic holy place. The powers of nature can only respond to questions that are within their knowledge and purview. It is inadvisable to use the spell more than once per week."
Confusion,"Druid, 7th Level; Magic-User, 4th Level",120 feet,2 hours,"This spell confuses people and monsters, making them act randomly. On a roll of 2d6, the creatures will do the following: Table 36: Confusion Die Roll Reaction 2–5 Attack caster & caster’s allies 6–8 Stand baffled and inactive 9–12 Attack each other The effects of the confusion may shift every 10 minutes or so, and the dice are once again rolled. The spell affects 2d6 creatures, plus an additional creature for every caster level above 8th. Creatures of 3 hit dice or fewer are automatically affected by the spell, and it takes effect instantly. Creatures of 4 hit dice or more automatically overcome the confusion effect as it builds up to its full power (1d12 minutes, minus the caster’s level), and only then are they permitted a saving throw. Eventually, these creatures are likely to succumb to the confusion, for they must continue to make another saving throw every 10 minutes until the spell’s two-hour duration has run its course. Conjure Animals See Conjuration of Animals Conjure Earth Elemental See Conjuration of Earth Elementals Conjure Elemental See Conjuration of Elementals Conjure Fire Elemental See Conjuration of Fire Elementals"
Conjuration of Animals,"Cleric, 6th Level",30 feet,1 hour,"The Cleric conjures up normal animals to serve as allies: 1 creature larger than a man (such as an elephant), 3 animals the size of a man or horse (such as a lion), or 6 animals smaller than a man (such as a wolf). The animals obey the caster’s commands."
Conjuration of Demons,"Magic-User, 7th Level",10 feet,Referee’s discretion,"This spell summons a demon or other fiend (such as a devil) from the lower planes of existence. The spell provides no protection whatsoever against the wrath of the summoned creature, and the Magic-User should be versed in the lore of pentacles and other magical means of hedging out demons. Gaining the demon’s assistance is beyond the spell’s power, coming down to a matter of negotiations and threats between the caster and the fiend."
Conjuration of Earth Elementals,"Druid, 7th Level",240 feet,Until dispelled or concentration ceases,"This spell summons forth a 16 HD earth elemental and binds it to follow the caster’s commands. The elemental obeys the caster only for as long as the caster concentrates on maintaining control over it. Unlike the Magic-User spell for conjuring elementals (Conjuration of Elementals) this spell summons a willing ally from the elemental planes rather than a hostile slave. The elemental will not stay longer than the caster concentrates upon it, but it will not seek to attack a druidic summoner once this binding is released. The spell is powerful enough not to risk the random consequences of the sixth level Druid spell Conjuration of Fire Elementals, or perhaps it is simply that the magic of stone is less mercurial than the magic of fire."
Conjuration of Elementals,"Magic-User, 5th Level",240 feet,Until dispelled or slain,"The caster summons a 16 HD elemental (any kind) from the elemental planes of existence, and binds it to follow commands. The elemental obeys the caster only for as long as the caster concentrates on it; and when the caster ceases to concentrate, even for a moment, the elemental is released and will attack its former master."
Conjuration of Fire Elementals,"Druid, 6th Level",240 feet,Until dispelled or concentration ceases,"The caster summons a 16 HD fire elemental from the elemental planes of existence, and binds it to obey the character’s commands. The elemental obeys the caster only for as long as the caster concentrates on it. Unlike the Magic-User spell for conjuring elementals (Conjuration of Elementals) this spell summons a willing ally from the elemental planes rather than a hostile slave. The elemental will not stay longer than the caster concentrates upon it, but it will not seek to attack a druidic summoner. There is, however, a 5% chance that the spell will summon forth powers unintended by the druid. If this happens, one of two things will occur, with a 50% chance of each. The spell might summon forth a truly great elemental force, an elemental with 20 HD. However, there is also the chance that the spell will summon forth an efreeti. The efreet do not have the same rapport with Druids as the pure elementals do, and an efreeti, unlike elementals, will attack the caster when the Druid’s concentration falters."
Contact Other Plane,"Magic-User, 5th Level",None,Number of “Yes/No” questions,"The caster creates a mental contact with the planes, forces, powers, and geometries of the beyond, in order to gain affirmative or negative answers to the questions being contemplated. The spell’s effects depend upon how deeply the caster quests into the various planes of existence. The caster must decide how “far” into the planes of existence the contact will be attempted. The number of planes in “depth” that the caster chooses will affect the number of yes or no questions that can be asked, the chance that the knowledge is available at that level, the chance of receiving a wrong answer, and the chance that the caster will become temporarily insane from the experience. Temporary insanity lasts for as many weeks as the “number” of the plane where the caster’s sanity failed… or perhaps was deliberately removed. Table 37: Contact Other Plane Plane of Existence Max. # Questions Knowledge Available Wrong Result Temporary Insanity1 3rd 3 25% 70% 1% 4th 4 30% 60% 10% 5th 5 40% 50% 20% 6th 6 50% 40% 30% 7th 7 60% 30% 40% 8th 8 70% 25% 45% 9th 9 80% 20% 55% 10th 10 85% 15% 65% 11th 11 90% 10% 75% 12th 12 95% 1% 85% 1 This chance is reduced by 5% for every level of the caster above 11th"
Continual Light,"Magic-User, 2nd Level",120 feet,Permanent until dispelled,"The targeted person or object produces light as bright as sunlight (and with the same effects as sunlight), to a radius of 120 feet."
"Control Temperature, 10-foot radius","Druid, 4th Level",Touched sprig of mistletoe,3 turns + 1 turn/level,"The caster may raise or lower the temperature by 50 degrees (hotter or colder) in a 10-foot radius around the material component, a sprig of mistletoe."
Control Weather,"Cleric, 7th Level; Druid, 7th Level; Magic-User,",6th Level,Range: Referee’s discretion,"Duration: Referee’s discretion The caster can summon or stop rainfall, create unusually high or low temperatures, summon or disperse a tornado, clear the sky of clouds, or summon clouds into being."
Control Winds,"Druid, 5th Level",Centered on caster,6 turns + 1 turn/level,"Within a radius of 240 feet, the caster controls the winds. It is possible to make the air completely still, or to whisk it into a gale-like tumult of unbelievable ferocity."
Create Food,"Cleric, 5th Level",Close,Immediate,"This spell creates a one-day supply of food for 24 humans (or the like). At 9th level the amount of food doubles, and it doubles again at every level thereafter."
Create Water,"Cleric, 4th Level; Druid 2nd Level",Close,Immediate,"This spell creates a one-day supply of drinking water for 24 men (or, for game purposes, horses). At 9th level the amount of water doubles, and it doubles again at every level thereafter."
Creeping Doom,"Druid, 7th Level",50 feet,See below,"Spiders, centipedes, and other such vermin boil forth from the ground, assembling into a coherent swarm within 1d3 rounds (1-3 minutes). The caster may direct the swarm in any direction, or toward a particular target within 60 feet of the swarm’s location. It will march in that direction and attack anything in its path, pursuing a particular target up to a distance of 240 feet from the caster. The swarm is composed of 1d10 x100 creatures, each of which inflicts one point of damage and then dies. (A swarm of 100 will inflict a total of 100 hp before being “used up,” and a swarm of 1000 would eventually inflict a total of 1000 hp in damage if it came across enough victims.)"
Cure Disease,"Cleric, 3rd Level, Druid, 3rd Level",Touch,Immediate,"Cures the spell’s recipient of any diseases, including magically inflicted ones. An evil reversal of this spell allows a Chaotically aligned Cleric to cause disease."
Cure Light Wounds,"Cleric, 1st Level; Druid 2nd, Level",Touch,Immediate,Cures 1d6+1 hit points of damage. An evil reversal of this spell allows a Chaotically aligned Cleric to cause light wounds rather than curing them.
Cure Serious Wounds,"Cleric, 4th Level; Druid, 4th Level",Touch,Immediate,Cures 2d6+2 hit points of damage. An evil reversal of this spell allows a Chaotically aligned Cleric to cause serious wounds.
Darkness 15-foot Radius,"Magic-User, 2nd Level",120 feet,1 hour,"Darkness falls within the spell’s radius, impenetrable even to darkvision. A Light spell or Dispel Magic can be used to counteract the darkness."
Darkvision,"Magic-User, 3rd Level",40 feet,1 day,The recipient of the spell can see in total darkness for the length of the spell’s duration.
Death Spell,"Magic-User, 6th Level",240 feet,Causes normal death,"Within a 60-foot radius, up to 2d8 creatures, with fewer than 7 hit dice each, perish."
Delayed Blast Fireball,"Magic-User, 7th Level",240 feet,Chosen by caster (up to 10 minutes),"This spell creates a normal fireball, but the blast can be delayed for a period of up to 10 minutes. The burst radius, per a normal fireball, is 20 feet, and damage is 1d6 per level of the caster. The blast shapes itself to the available volume (33,000 cubic feet), filling 33 10-foot x 10-foot x 10-foot cubical areas."
Detect Evil (Cleric),"Cleric, 1st Level",120 feet,1 hour,"The caster detects any evil enchantments, evil intentions, evil thoughts, or evil auras within the spell’s range. Poison is not inherently evil and cannot be detected by means of this spell. Whether there is any distinction between “evil” and “Chaos” is left to the Referee; in most campaigns they are exactly the same."
Detect Evil (Magic-User),"Magic-User, 2nd Level",60 feet,20 minutes,"The caster detects any evil enchantments, evil intentions, evil thoughts, or evil auras within the spell’s range. Poison is not inherently evil and cannot be detected by means of this spell. Whether there is any meaningful distinction between “evil” and “Chaos” is left to the Referee; in most campaigns they are exactly the same."
Detect Invisibility,"Magic-User, 2nd Level",10 feet per caster level,1 hour,"The caster can perceive invisible objects and creatures, even those lurking in the Astral or Ethereal planes of existence."
Detect Magic,"Cleric, Magic-User, Druid 1st Level",60 feet,20 minutes,"The caster can perceive, in places, people, or things, the presence of a magical spell or enchantment. For example, magical items may be discovered in this fashion, as can the presence of a charm secretly laid upon a person."
Detect Snares and Pits,Druid 1st Level,30 feet,1 hour + 10 min/level,"Much like the Clerical Find Traps spell, this spell grants the caster a mystical power of sight, revealing any traps. However, the spell only functions outdoors; it is useless inside buildings or in dungeons."
Dimension Door,"Magic-User, 4th Level",10 feet (360-foot teleport distance),1 hour,"Dimension Door is a weak form of teleportation, a spell that can be managed by lesser magicians who cannot yet manage the Teleport spell. The caster can teleport himself, an object, or another person, with perfect accuracy to the stated location, as long as it is within the spell’s range."
Disintegrate,"Magic-User, 6th Level",60 feet,Permanent—cannot be dispelled,"The caster defines one specific target such as a door, a peasant, or a statue, and it disintegrates into dust. Magical materials are not disintegrated, and living creatures (such as the aforementioned peasant) are permitted a saving throw."
Dispel Evil,"Cleric, 5th Level",30 feet,10 minutes against an item,"This spell is similar to the Magic-User spell Dispel Magic, but affects only evil magic. Also unlike the Dispel Magic spell, Dispel Evil functions (temporarily) against evil “sendings,” possibly including dreams or supernatural hunting-beasts. The power of an evil magic item is held in abeyance for 10 minutes rather than being permanently dispelled. Evil spells are completely destroyed. As with Dispel Magic, the chance of successfully dispelling evil is a percentage based on the ratio of the level of the dispelling caster over the level of original caster (or HD of the monster). Thus, a 9th-level Cleric attempting to dispel an evil charm cast by a 12th-level Cleric has a 75% chance of success (9/12 = .75, or 75%). If the 12th-level Cleric was dispelling the 9th-level Cleric’s charm, success would be certain (12/9 = 1.33, or 133%)."
Dispel Magic,"Druid, 4th Level; Magic-User, 3rd Level",120 feet,10 minutes against an item,"Dispel Magic, although not powerful enough to permanently disenchant a magic item (nullifies for 10 minutes), can be used to completely dispel most other spells and enchantments. The chance of successfully dispelling magic is a percentage based on the ratio of the level of the dispelling caster over the level of original caster (or HD of the monster). Thus, a 6th-level Magic-User attempting to dispel a charm cast by a 12th-level Magic-User has a 50% chance of success (6/12 = .50, or 50%). If the 12th-level Magic-User was dispelling the 6th-level Magic-User’s charm, success would be certain (12/6 = 2.00, or 200%)."
Earthquake,"Cleric, 7th Level",Referee’s discretion,Immediate,"The Cleric causes a powerful earthquake in an area 60x60 feet plus an additional 10 feet (in both length and width) per three levels above 17th. The quake topples walls, causes rockslides, and opens gaping fissures in the earth. Any creature caught in the quake has a 1 in 6 chance of falling into the depths of the earth and being killed. The earthquake’s tremors do not extend in any way beyond the spell’s area of effect."
Enchant Item,"Magic-User, 6th Level",Touch,Permanent,"This spell is used in the creation of a magical item, in addition to whatever research, special ingredients, or other efforts the Referee may determine are necessary for the task."
ESP (Detect Thoughts),"Magic-User, 2nd Level",60 feet,2 hours,"The caster can detect the thoughts of other beings at a distance of 60 feet. The spell cannot penetrate more than two feet of stone, and is blocked by even a thin sheet of lead."
Explosive Runes,"Magic-User, 3rd Level",Written on parchment,Permanent,"The Magic-User scribes a rune onto parchment, vellum, or paper as a deadly trap. If anyone other than the caster reads the rune, the sigil explodes into fire, automatically dealing 4d6 points of damage to anyone directly in front of it. The parchment or book upon which the rune was scribed will also be destroyed. An explosive rune can be detected, bypassed, and even removed by a higher-level Magic-User. Any Magic-User at least two levels higher than the rune’s creator has a 60% chance to detect it, a 75% chance to bypass it (if it is detected), and a 100% chance to remove it (if it is successfully detected and bypassed)."
Extension I,"Magic-User, 4th Level",Caster,See below,Extension I lengthens the duration of another of the caster’s spells by 50%. Only spells of levels 1–3 can be affected by Extension I.
Extension II,"Magic-User, 5th Level",Caster,See below,Extension II lengthens the duration of another of the caster’s spells by 50%. Only spells of levels 1–4 can be affected by Extension II.
Extension III,"Magic-User, 6th Level",Caster,See below,Extension III doubles the duration of another of the caster’s spells. Spells of level 1–5 can be affected by Extension III.
Faerie Fire,"Druid, 1st Level",60 feet,1 hour,"This spell illumines an object or creature with an eerie, fey glow. The spell’s target may be approximately as large as 10 square feet, plus 2 square feet per level of the caster. The spell can be used for diverse purposes, such as revealing the true dimensions or extent of a thing, or to prevent a creature from retreating into the darkness. Depending upon the precise circumstances, the Referee may allow such illumination to render a creature more easily hit, granting a +1 to-hit bonus to attackers."
Fear,"Magic-User, 4th Level",240 feet,1 hour,"This spell causes the creatures in its cone-shaped path to flee in horror if they fail a saving throw. If they do so, there is a 60% chance that they will drop whatever they are holding. The cone extends 240 feet to a base 120 feet across."
Feeblemind,"Druid, 6th Level; Magic-User, 5th Level",240 feet,Permanent until dispelled,"Feeblemind is a spell that affects only Magic-Users. The saving throw against the spell is made at a -4 penalty, and if the saving throw fails, the targeted Magic-User becomes feeble of mind until the magic is dispelled."
Find the Path,"Cleric, 6th Level",Caster,1 hour +10 minutes/level; 1 day outdoors,"The caster perceives the fastest way out of an area, even if the area is designed to be difficult to navigate, such as a labyrinth. Outdoors the spell has greater power, lasting a full day."
Find Traps,"Cleric, 2nd Level",30 feet,20 minutes (2 turns),The caster can perceive both magical and non-magical traps at a distance of 30 feet
Finger of Death,"Cleric, 5th Level; Druid, 6th Level",120 feet,Immediate,This spell kills a single creature (saving throw applies). Misusing the spell is an evil act that will likely invoke divine retribution of some kind.
Fire Storm,"Druid, 7th Level",100 feet + 10 feet/level,1 turn (10 minutes),"A massive conflagration of fire erupts in the spot directed by the caster. The fire burns in a shape, area, and size defined by the caster, the volume being no less than 30 feet x 30 feet x 30 feet. The maximum possible volume of fire that can be called forth is the minimum area (30x30x30) times the caster’s level. While the magical fire burns, creatures with 3 or fewer hit dice cannot pass through it, and no creature can see through it to the other side. Creatures who are able to pass through the fire receive 1d6 hit points of damage per ten feet traveled (no saving throw) and undead creatures sustain twice this damage."
Fireball,"Magic-User, 3rd Level",240 feet,Instantaneous,"A bead-like missile shoots from the caster’s finger, to explode, at the targeted location, in a furnace-like blast of fire. The burst radius is 20 feet, and damage is 1d6 per level of the caster. The blast fills 33,000 cubic feet (33 ten-foot x ten-foot x ten-foot cubical areas) but shapes itself to the available volume. A successful saving throw means that the target takes only half damage."
Fly,"Magic-User, 3rd Level",Touch,1 turn/level + 1d6 turns,"This spell imbues the Magic-User with the power of flight, with a movement rate of 120 feet per round. The Referee secretly rolls the 1d6 additional turns; the player does not know exactly how long the power of flight wlil last."
Gate,"Magic-User, 9th Level",Near the caster,See below,"A Gate spell creates an opening to another plane of existence and summons forth a specified, tremendously powerful being from the other plane, including gods, demi-gods, demons, etc. The caster must know the name of the creature being summoned or the spell will fail. There is a 5% chance that the wrong being might be summoned forth, and (regardless whether the summoned being is the right one or not) there is a 5% chance that it will lack interest in the situation and return through the gate. The summoned being is not necessarily friendly to the caster, and may even be extremely annoyed."
Geas,"Magic-User, 6th Level",30 feet,Until task is completed,"If the spell succeeds (saving throw cancels), the caster may set a task for the spell’s victim. If the victim does not diligently work at performing the task, the refusal will cause weakness (50% reduction in strength), and trying to ignore the geas eventually causes death."
Hallucinatory Forest,"Druid, 4th Level",60 feet,Until dispelled,"Much like the Magic-User spell Hallucinatory Terrain, this spell changes the appearance of the land, although the illusion is always that of a forest. Druids and magical creatures of the forest such as a dryad or treant will not be fooled by the illusion, but until the dweomer is dispelled all other creatures will perceive the area to be forested. The maximum extent of the nonexistent forest, measured for convenience in 30-foot x 30-foot “squares,” is one such square per level of the caster."
Hallucinatory Terrain,Magic-User. 4th Level,240 feet,Until touched (other than by ally) or dispelled,"This spell changes the appearance of the terrain into the semblance of what the caster desires. A hill can be made to disappear, or it could be replaced with an illusory forest, for example."
Haste,"Magic-User, 3rd Level",240 feet,30 minutes,"In an area with a radius of 60 feet around the point where the spell is targeted, as many as 24 creatures become able to move and attack at double normal speed."
Heat Metal,"Druid, 2nd Level",30 feet,7 rounds,"This spell heats metal to searing hot temperatures, affecting 20 pounds of metal per level of the caster. As a rule of thumb, this magic affects the armor and weapons of one opponent per caster level when used as a general attack, although the spell is definitely not limited to general combat. Metal does not get a saving throw against being heated, but any sort of magical fire resistance prevents damage from the heat itself. Effect of continuous exposure to heated metal: Round 1: The metal becomes hot, but is not yet dangerous. Round 2: 1d4 points of damage. If hands are what remain in contact, the blistering makes them unusable for 1 day thereafter. Rounds 3-5: 1d4+1 points of damage per round. If hands remain in contact, their skin is so badly scorched that they cannot be used for 1d3 weeks. If the head is in contact, the victim falls unconscious for 1d8 turns. Round 6: 1d4 points of damage. Round 7: The metal has begun to cool, and is merely hot to the touch."
Hold Animal,"Druid, 3rd level",120 feet,1 hour (+10 minutes/level),"The caster targets no more than four normal or giant animals, with total hit dice equal to or less than those of the Druid. These animals are completely immobilized (saving throw applies). If the caster targets a single creature, the saving throw is made with a penalty of -2."
Hold Monster,"Magic-User, 5th Level",120 feet,1 hour (+10 minutes/level),"The caster targets 1d4 creatures, which are completely immobilized (saving throw applies). The caster may also target a single creature, in which case the saving throw is made with a penalty of -2."
Hold Person (Cleric),"Cleric, 2nd Level",180 feet,9 turns,"The caster targets 1d4 persons (according to the same parameters as the Charm Person spell), who are completely immobilized (saving throw applies). The caster may also target a single person, in which case the saving throw is made with a penalty of -2."
Hold Person (Magic-User),"Magic-User, 3rd Level",120 feet,1 hour (+10 minutes/level),"The caster targets 1d4 persons (according to the same parameters as the Charm Person spell), who are completely immobilized (saving throw applies). The caster may also target a single person, in which case the saving throw is made with a penalty of -2."
Hold Plant,"Druid, 5th Level",30 feet/level,1 hour (+10 minutes/level),"The caster targets 1d4 plants or plant-creatures, which become completely immobilized. (A saving throw applies for monster-type plants.) The caster may also target a single plant, in which case the saving throw is made with a penalty of -2. The spell does not only immobilize plants; it will also temporarily arrest the growth of any plant, magical or not."
Hold Portal,"Magic-User, 1st Level",Referee’s Discretion,2d6 turns,This spell holds a door closed for the spell’s duration or until dispelled. Creatures with magic resistance can shatter the spell without effort.
Holy Word,"Cleric, 7th Level",40-foot radius,Immediate,"The speaking of a Holy Word dramatically affects all those within the range of its divine power. Creatures of fewer than 5 hit dice are slain, creatures of 5-8 hit dice are stunned for 2d10 turns, and creatures with 9-12 hit dice are deafened for 1d6 turns. Creatures with 13+ hit dice are unaffected but probably impressed."
Ice Storm,"Magic-User, 4th Level",120 feet,1 round,"A whirling vortex of ice, snow, and hail forms in a cube roughly 30 feet across. Massive hailstones inflict 3d10 hit points of damage (no saving throw applies) to all within the area."
Insect Plague,"Cleric, 5th Level; Druid, 4th level",480 feet,1 day,"This spell works only outdoors. A storm of insects gathers, and goes wherever the caster directs. The cloud covers approximately 400 square feet (20 feet by 20 feet, with roughly corresponding height). Any creature of 2 HD or fewer that is exposed to the cloud of insects flees in terror (no saving throw)."
Invisibility,"Magic-User, 2th Level",240 ft,Until dispelled or an attack is made,"The object of this spell, whether a person or a thing, becomes invisible to both normal sight and darkvision. The result is that an invisible creature cannot be attacked unless its approximate location is known, and all attacks are made at -4 to hit. If the invisible creature makes an attack, the spell is broken. Otherwise, it lasts until dispelled or removed by the caster."
Invisibility 10-Foot Radius,"Magic-User, 3rd Level",240 feet,Until dispelled or an attack is made,"Like the Invisibility spell, Invisibility 10-Foot Radius makes the target creature or object invisible to normal sight and darkvision. It also, however, throws a radius of invisibility around the recipient, which moves with him/her/it. Nothing inside the radius of invisibility can be attacked unless its approximate location is known, and all attacks are made at -4 to hit. If an invisible creature makes an attack, the spell is broken. Otherwise, it lasts until dispelled or removed by the caster."
Invisible Stalker,"Magic-User, 6th Level",Close,Until mission is completed,"This spell summons (or perhaps creates) an invisible stalker, an invisible being with 8 HD. (See the Monster section for more details.) The stalker will perform one task as commanded by the caster, regardless of how long the task may take or how far the stalker may have to travel. The stalker cannot be banished by means of Dispel Magic; it must be killed in order to deter it from its mission."
Knock,"Magic-User, 2nd Level",60 feet,Immediate,"This spell unlocks and unbars all doors, gates, and portals within its range, including those held or locked by normal magic."
Legend Lore,"Magic-User, 6th Level",Caster,See below,"Over the course of long and arduous magical efforts (1d100 days), the caster gains knowledge about some legendary person, place, or thing. The spell’s final result may be no more than a cryptic phrase or riddle, or it might be quite specific."
